,birdID_female,birdID_male,nest,year,prov_rate_male,prop_prov_male,prov_rate_female,prop_prov_female,total_prov_rate,male_age,female_age,pairbond,bs,spotiness,H_shell,S_shell,V_shell,spotiness_fake,H_shell_fake,S_shell_fake,V_shell_fake,exp
3,7932306,Parmesan,272,2019,0.7,77.77777778,0.2,22.22222222,0.9,7,5,1,1,0.10235307,0.125243367,0.342992612,0.873014493,0.10235307,0.125243367,0.342992612,0.873014493,no
13,Benita,Finnegan,560,2019,0.3,75,0.1,25,0.4,9,9,6,2,0.284487019,0.143823429,0.298440444,0.738124986,0.097679953,0.121317659,0.410291824,0.840605376,yes
16,Cathy,Hasso,219,2019,1.1,73.33333333,0.4,26.66666667,1.5,9,8,6,3,0.107469001,0.14558927,0.250116721,0.965023214,0.107469001,0.14558927,0.250116721,0.965023214,no
19,Cosima,Dildo,223,2019,0.4,66.66666667,0.2,33.33333333,0.6,9,9,6,2,0.484402218,0.139286783,0.391886543,0.69437141,0.154165293,0.119161349,0.427169137,0.8412989,yes
23,Dilara,Jarvis,210,2019,0.9,39.13043478,1.4,60.86956522,2.3,9,9,4,3,0.212456604,0.155468589,0.284435466,0.821994307,0.212456604,0.155468589,0.284435466,0.821994307,no
27,Dory,Amrat,267,2019,1.1,91.66666667,0.1,8.333333333,1.2,3,5,1,2,0.303959859,0.136959412,0.363211089,0.826435214,0.303959859,0.136959412,0.363211089,0.826435214,no
28,Eclipse,Pinochio,597,2019,0.4,40,0.6,60,1,6,3,1,3,0.20707095,0.130807644,0.330392705,0.901800265,0.20707095,0.130807644,0.330392705,0.901800265,no
29,Elvira,Chio,201,2019,1.6,84.21052632,0.3,15.78947368,1.9,8,18,2,3,0.234977353,0.190775892,0.21732122,0.85052476,0.096373754,0.122553968,0.420490146,0.829883821,yes
34,Gloria,Arno,255,2019,0.9,42.85714286,1.2,57.14285714,2.1,6,6,3,2,0.15834413,0.134744846,0.342236386,0.832826318,0.108549041,0.119429443,0.450905269,0.851048978,yes
41,Indira,Linneus ,528,2019,1.4,73.68421053,0.5,26.31578947,1.9,8,9,4,2,0.348736015,0.124821153,0.444433109,0.760834728,0.025044192,0.12355591,0.402806113,0.846809065,yes
43,Jantje,Blake ,238,2019,0.3,37.5,0.5,62.5,0.8,10,9,6,3,0.273271962,0.142593173,0.389250366,0.827272694,0.171550634,0.11841183,0.447387622,0.841563272,yes
46,Jofi,AlCapone,485,2019,0.9,90,0.1,10,1,3,5,1,2,0.263398998,0.130868897,0.393949289,0.780252493,0.263398998,0.130868897,0.393949289,0.780252493,no
48,Kayley,Kirk,410,2019,0.8,61.53846154,0.5,38.46153846,1.3,9,10,2,3,0.23597204,0.185670587,0.252675212,0.875395653,0.03385159,0.122698369,0.393374502,0.837829469,yes
50,Kirsty ,Ismael,451,2019,0.6,75,0.2,25,0.8,9,9,1,2,0.235980274,0.135411118,0.36085884,0.863553233,0.235980274,0.135411118,0.36085884,0.863553233,no
51,Lisandra,Milhouse,483,2019,0.1,100,0,0,0.1,7,3,0,1,0.272593353,0.129001978,0.381641174,0.807772539,0.272593353,0.129001978,0.381641174,0.807772539,yes
53,Lulu,August,202,2019,1.3,86.66666667,0.2,13.33333333,1.5,20,20,18,2,0.190596233,0.14129287,0.30949335,0.887982298,0.151426038,0.121445435,0.412963048,0.832462354,yes
60,Melek,Satan,389,2019,1.6,80,0.4,20,2,8,8,1,3,0.264263655,0.122202339,0.443141882,0.818825464,0.205076234,0.119608146,0.415647746,0.888150699,no
61,Merula,Thies,598,2019,0.6,66.66666667,0.3,33.33333333,0.9,5,6,1,2,0.205615402,0.121598913,0.393243294,0.871327763,0.205615402,0.121598913,0.393243294,0.871327763,no
65,Nebula,Cupido,257,2019,1.5,88.23529412,0.2,11.76470588,1.7,5,4,1,2,0.177477677,0.129842914,0.349249532,0.85098379,0.177477677,0.129842914,0.349249532,0.85098379,no
68,Nell,Roy,206,2019,0.3,37.5,0.5,62.5,0.8,18,18,6,3,0.276241805,0.159920418,0.331764242,0.732524282,0.124628178,0.123235064,0.405841341,0.8411812,yes
69,Pinelopi,Russell,419,2019,0.5,62.5,0.3,37.5,0.8,8,9,5,3,0.440811637,0.117841474,0.473114824,0.749931191,0.165574997,0.118553977,0.447392286,0.851772379,yes
72,Princess,Karlson,304,2019,0.9,60,0.6,40,1.5,18,11,4,2,0.336659674,0.107258295,0.413768394,0.820552031,0.13767321,0.1218309,0.383498776,0.824237848,yes
76,Rihanna,Hamlet,213,2019,1.1,84.61538462,0.2,15.38461538,1.3,11,11,7,1,0.170013869,0.12057814,0.405196183,0.815272738,0.170013869,0.12057814,0.405196183,0.815272738,no
78,Rosemarie,Hanno,245,2019,0.9,81.81818182,0.2,18.18181818,1.1,6,5,3,3,0.323456017,0.114334065,0.471211684,0.713324714,0.115548307,0.121481211,0.430396256,0.855600342,yes
80,Sarina,Gonzales,220,2019,0.7,63.63636364,0.4,36.36363636,1.1,9,11,1,3,0.192858385,0.134814113,0.371180795,0.86628387,0.207339757,0.121867313,0.441303697,0.848762884,yes
83,Tetje,Lamar,363,2019,0.7,77.77777778,0.2,22.22222222,0.9,9,9,6,2,0.181411633,0.153877902,0.309790024,0.846863388,0.132159708,0.123080583,0.418608353,0.855063449,yes
96,u35,Abel,307,2019,0.8,72.72727273,0.3,27.27272727,1.1,11,NA,NA,3,0.455067384,0.150183212,0.356383839,0.713589086,0.066638492,0.121383059,0.415293645,0.833677379,yes
97,u36,Larkin,516,2019,0.4,66.66666667,0.2,33.33333333,0.6,14,NA,NA,2,0.176906868,0.162945122,0.23985913,0.855718042,0.139583009,0.121601056,0.422934805,0.849552378,yes
